关节角1 关节角2 关节角3 关节角4 关节角5 关节角6
128.170685 141.031617 -66.406617 -76.714875 -35.549390 93.906242
126.062807 130.281719 -51.817664 -88.659831 -29.199591 100.023927
126.819838 133.870273 -55.292393 -85.745642 -24.900119 98.364478
124.647715 132.180211 -54.241257 -88.467773 -29.144841 98.543128
125.047964 135.455246 -61.151954 -80.963123 -33.780442 95.658418
127.356500 135.209810 -59.303220 -80.010011 -34.487756 94.697950
127.401169 135.441244 -62.690174 -76.859163 -32.310790 94.810792
128.424208 136.709433 -66.000159 -75.520322 -29.874704 94.434933
128.165194 137.365104 -62.034695 -81.682813 -39.013317 94.164451
125.771254 133.629004 -59.148216 -81.837674 -32.770851 97.372891
130.920602 132.201645 -57.554671 -82.849525 -34.385628 96.009640
124.653917 140.794542 -68.779267 -81.869222 -32.996965 97.885552
125.774095 133.884521 -60.930410 -78.903623 -35.505844 97.339860
126.498013 140.864005 -70.623152 -70.951800 -32.628978 90.547879
128.380482 132.415061 -67.856106 -74.651078 -38.413534 97.201208
126.358418 133.411927 -58.242976 -80.491710 -29.973308 94.265401
125.345350 134.523444 -68.347319 -73.603512 -32.080453 95.770023
127.502912 140.368024 -80.152236 -65.656676 -37.581395 93.611656
129.639108 132.460113 -65.832266 -74.162898 -25.405172 96.912803
127.559302 134.793865 -64.683203 -74.607194 -37.673886 96.259973
130.190796 135.792029 -67.649349 -72.238034 -40.981705 93.958712
128.903920 137.381605 -70.229822 -75.566775 -39.032605 97.162713
125.616154 137.188147 -68.224915 -79.192191 -31.871042 99.704738
126.486333 131.545482 -65.498898 -73.716784 -29.066744 95.331491
129.232124 135.205411 -69.126193 -76.350238 -32.171209 100.690143
126.293859 128.471487 -66.776185 -77.732723 -36.999633 107.689393
129.433560 139.878750 -81.352512 -62.709558 -33.101084 92.706595
130.148476 141.470963 -80.076769 -62.426700 -37.855306 90.693424
126.216869 138.291045 -76.808155 -65.942396 -32.366173 94.139138
124.524348 138.946388 -83.933463 -59.678450 -28.695455 94.104454
130.497922 133.657540 -69.726259 -71.382655 -33.537957 97.994179
128.003797 134.706425 -70.880554 -67.966215 -37.042243 93.438347
130.059014 134.362443 -73.757580 -63.188757 -39.945228 92.292610
133.817981 135.915942 -79.085668 -61.388709 -40.276133 92.652991
132.273676 136.563799 -74.762588 -66.804701 -52.964046 96.995776
127.313702 130.838298 -69.027736 -75.105231 -37.429194 103.363910
128.301866 136.537872 -82.819349 -60.841522 -38.538977 95.756684
126.511660 129.446893 -68.845930 -69.064236 -28.302033 95.377998
131.908752 136.894968 -72.193187 -75.440300 -38.637496 99.176498
128.352464 136.345233 -80.997219 -62.951340 -32.661394 96.607719
130.380935 136.075291 -82.151227 -61.944912 -31.693007 94.803599
129.032724 140.565976 -92.254552 -51.067484 -36.661163 92.218550
129.328143 133.790592 -77.528542 -64.574364 -40.030567 98.581063
131.519363 139.827510 -90.387506 -53.235577 -36.944852 92.789220
128.974968 130.902747 -76.545384 -65.250143 -28.593624 93.047435
130.640345 140.509149 -85.648147 -61.443699 -37.840826 90.197129
127.331392 137.101650 -83.069089 -58.697239 -35.695535 93.518615
128.879058 134.930155 -86.874139 -51.907846 -35.350768 92.483917
129.884721 138.800768 -84.832015 -55.591309 -47.357865 91.113535
132.058538 134.919773 -81.025045 -59.392675 -53.557480 91.844639
132.658898 137.492814 -81.528601 -64.586050 -39.550873 98.405985
130.771403 134.891264 -85.811061 -52.929369 -30.599493 93.235388
131.145110 138.163785 -89.049759 -50.015969 -32.282797 90.568520
131.270977 136.410926 -87.542760 -54.387833 -39.636182 87.458407
129.621431 136.280633 -87.999344 -58.089468 -34.210020 96.327107
131.704844 136.984894 -91.536139 -48.602400 -36.552034 93.137873
131.928956 134.657589 -81.853622 -59.125157 -33.691588 95.249133
136.192278 140.405275 -95.816721 -45.585629 -42.223697 90.725389
136.204163 137.988222 -87.820318 -58.534277 -45.447187 97.042590
131.124182 143.665543 -93.208457 -55.620341 -37.520609 93.750261
136.217700 139.845569 -89.056890 -54.658162 -50.350228 94.448402
133.298067 141.794044 -94.372123 -51.200146 -45.711509 92.663906
134.518267 144.726067 -95.324811 -51.298679 -38.279167 89.877264
131.928287 141.010212 -91.643530 -55.227226 -37.414130 93.857393
135.849963 138.363732 -87.785122 -57.782021 -44.939568 94.529729
130.486461 137.678008 -83.454823 -55.222756 -34.292273 90.902851
136.392676 139.736778 -96.378853 -46.517133 -40.949375 92.612215
136.345985 137.643871 -93.453811 -46.814277 -41.643165 92.609777
133.942264 140.428088 -95.251790 -50.539787 -42.403915 95.592992
138.471581 140.484041 -87.818727 -55.493217 -47.555236 91.984090
137.362044 135.114201 -88.450458 -51.170159 -36.907190 92.818487
134.606909 140.562315 -90.961222 -54.783633 -43.862433 95.206587
136.064021 137.438528 -89.998063 -51.238788 -45.768814 92.143459
137.372549 137.570419 -83.118901 -60.220876 -46.061293 94.105663
133.418292 132.842248 -85.567094 -57.291340 -44.036668 96.393401
138.710145 144.183722 -98.577457 -48.805960 -50.708479 91.919511
139.770382 141.209749 -93.717190 -52.555328 -48.149801 96.388886
133.383158 140.429441 -97.669499 -46.365042 -48.683601 91.917763
136.067094 143.474680 -97.733102 -54.357914 -38.907169 95.045252
137.019250 141.175844 -92.247148 -52.846581 -41.115888 92.762623
134.772979 136.947110 -85.080463 -54.118167 -42.052136 91.685188
137.160020 140.895123 -96.464223 -47.386743 -49.763413 92.034545
135.398774 134.986791 -84.139796 -59.131994 -41.868073 94.949697
138.728368 139.616156 -90.948702 -53.766348 -44.020303 94.659824
