关节角1 关节角2 关节角3 关节角4 关节角5 关节角6
139.769863 135.262143 -84.756623 -52.748622 -49.271981 92.700584
137.377234 137.569313 -84.561061 -60.317182 -45.101566 97.425190
138.272699 138.196269 -86.110312 -60.018136 -37.426145 96.726960
136.847034 138.927441 -90.176720 -56.387388 -37.939358 93.206462
139.683762 139.120531 -85.357509 -64.149417 -53.178217 99.584199
142.072893 138.892525 -91.404419 -51.582323 -49.159563 91.385459
139.240578 141.070481 -94.673375 -48.577607 -43.871972 90.482562
136.298228 146.281287 -104.793263 -45.918959 -42.653271 93.029492
133.559172 137.592426 -93.340108 -49.222083 -53.887419 91.508757
136.225582 140.610454 -93.777172 -49.125941 -44.736213 91.188722
140.779146 137.913581 -85.221281 -61.199492 -54.622945 98.252230
142.358068 145.500651 -101.104333 -46.273312 -52.610171 91.097225
141.053556 142.814133 -99.217951 -46.034987 -54.100737 91.908125
140.747290 144.607590 -101.877148 -47.824691 -50.015993 91.590036
143.225379 139.212397 -91.555360 -54.398782 -47.597727 93.698072
140.112096 145.547698 -99.146514 -49.772418 -38.694599 92.467238
143.021484 143.605178 -90.684627 -57.392324 -52.770991 93.202992
144.180540 141.233299 -93.832319 -52.717774 -55.495318 90.879478
138.473261 141.255853 -91.257563 -54.933617 -54.106095 92.957235
140.659044 145.790265 -100.968146 -48.865123 -45.549562 92.310164
138.046155 144.780831 -97.385773 -50.936016 -45.887338 89.786593
142.410305 144.881740 -103.005782 -44.271712 -55.799818 91.320749
141.460430 146.347854 -100.371884 -53.869449 -47.805860 95.982531
145.949381 145.422732 -96.836728 -49.978936 -50.734440 90.691224
142.984983 145.854810 -97.659704 -50.346591 -47.068097 91.893351
144.892546 147.912323 -108.142877 -43.173977 -47.188165 91.555264
142.094436 149.185156 -101.999395 -53.578633 -49.950195 94.620182
143.634029 145.668373 -97.471266 -51.080072 -52.222182 91.661111
145.160344 142.855292 -97.455133 -50.539076 -51.698153 93.305288
144.531884 146.284538 -90.623510 -61.799196 -52.103582 92.772581
144.014894 149.401167 -95.568833 -59.436415 -50.006031 95.077647
147.859197 146.665458 -93.077228 -60.940532 -61.009463 91.434206
141.274048 146.692779 -94.616063 -63.227785 -53.570263 95.680507
149.086487 152.703332 -99.671011 -56.762717 -61.292321 90.093549
146.285331 148.941250 -100.444011 -51.303385 -60.552291 90.241252
144.779848 147.005301 -96.159583 -56.935566 -53.632513 92.701376
144.907504 146.677889 -92.746599 -59.768001 -54.951078 94.539510
146.206811 146.369178 -97.070970 -54.341047 -52.245538 93.282680
147.566865 148.731208 -92.303019 -61.160724 -51.801043 93.024362
148.728776 150.765170 -98.021759 -58.469295 -53.204209 93.793940
148.381352 153.523187 -101.576893 -54.725204 -56.534709 91.433256
149.586962 149.694947 -88.769045 -68.416024 -57.895156 93.792882
146.006154 153.190365 -104.375700 -52.944573 -48.392338 93.333469
145.497222 152.531102 -97.373820 -61.561451 -48.543906 91.752410
144.957815 148.778486 -92.891625 -63.440593 -57.243505 92.688303
151.858847 154.004592 -96.543597 -60.852143 -51.107816 91.634357
148.663480 149.302335 -92.015557 -61.903118 -54.088876 90.169337
145.527330 152.075022 -98.836649 -56.175963 -57.906644 89.963686
145.735364 147.974464 -94.017595 -56.546286 -51.581613 91.140869
152.899631 152.236379 -91.999090 -65.665220 -60.928340 95.917016
156.073183 154.503182 -96.261578 -62.454218 -58.324502 91.670865
153.776272 152.755992 -95.866964 -61.997477 -57.876516 92.241343
150.240939 149.000508 -87.636866 -65.603591 -53.981253 93.210601
152.760186 154.324914 -96.845792 -64.781032 -66.198234 94.478537
152.198335 147.828298 -87.896967 -66.810807 -66.011415 90.945437
150.705242 149.824639 -86.480454 -68.340462 -54.792652 91.564416
150.887580 149.856345 -86.029559 -72.645769 -55.378218 95.159937
151.511477 150.645423 -90.503073 -64.973984 -61.347557 90.558773
151.992309 154.723770 -94.429237 -61.883802 -59.246202 90.598020
150.981659 155.335208 -100.359979 -57.970015 -59.888663 89.323834
150.783652 153.676538 -93.550369 -64.503678 -61.123260 88.594199
156.659719 153.072831 -88.543670 -67.683042 -68.136697 89.643890
147.310884 149.775749 -89.535270 -66.494084 -54.319241 93.292878
150.167760 153.479173 -89.735258 -67.569613 -56.046681 92.925195
153.344386 150.291059 -91.921526 -62.916663 -61.850156 92.416332
151.611485 150.024832 -86.080799 -67.185934 -56.446719 91.165554
155.509815 154.402751 -96.136552 -60.637798 -67.264420 90.356668
153.436798 152.979503 -89.704023 -69.943719 -58.996975 89.741029
149.489099 153.290332 -87.645643 -73.284160 -56.576998 92.882083
151.742720 155.843115 -89.423931 -71.133593 -56.862681 92.460735
152.147928 153.259077 -89.833961 -68.368097 -56.257304 92.175090
154.996445 152.298219 -92.038903 -67.120044 -59.702212 91.353739
156.198312 159.855223 -95.338403 -68.675783 -66.393387 92.104841
152.147381 153.040688 -86.672628 -72.417818 -53.907405 92.211167
153.224256 152.276950 -86.573474 -72.442270 -61.413694 90.805698
150.883141 150.434111 -86.409932 -73.336410 -61.272657 93.768061
154.545953 159.855223 -94.035347 -71.367445 -60.216724 92.233358
158.865665 154.507868 -85.894062 -73.036777 -65.992072 90.600192
153.797760 154.862655 -81.953623 -79.118234 -68.565161 93.389074
158.653219 153.642346 -82.356194 -77.581366 -65.476673 92.968751
154.346197 151.194256 -77.909577 -80.233290 -60.729377 92.975165
155.865750 155.918725 -88.057142 -73.860470 -61.404009 92.928583
157.214316 158.080999 -88.890322 -74.320292 -63.081585 92.372243
159.954506 155.041237 -75.853813 -86.205238 -63.496075 92.574192
165.571435 157.282659 -79.615615 -82.954806 -70.830305 91.328119
154.107509 151.486110 -85.323372 -73.674013 -62.451001 93.937190
158.111462 157.517809 -80.823705 -81.214617 -60.128819 90.317231
157.762794 159.617177 -88.850550 -74.862848 -68.583576 91.622589
159.163133 155.207976 -82.339133 -79.574750 -66.911655 91.378225
158.116926 154.035792 -81.778893 -77.888527 -65.417933 91.489148
158.636935 159.855223 -84.598238 -82.339720 -69.614278 93.257695
157.304338 156.798453 -78.718627 -82.908033 -63.823740 91.709175
155.109225 157.340429 -80.167160 -83.523576 -67.144591 92.768729
159.342685 154.373846 -80.795578 -80.802777 -70.549468 91.320961
157.891994 159.110104 -89.412183 -74.269797 -67.146005 90.188987
158.216633 156.740697 -82.203704 -76.387661 -58.805866 85.100421
161.608464 155.243260 -80.207260 -81.625214 -60.428009 92.424945
161.098303 155.882525 -75.436489 -85.291448 -71.966370 93.818188
157.526196 155.943355 -72.644403 -89.085713 -75.112936 92.186005
157.035201 153.791763 -77.865386 -86.147721 -67.467666 93.882562
158.691987 155.989472 -75.604662 -82.482341 -75.035079 90.197566
159.429975 150.403566 -64.955577 -91.853525 -73.596347 93.137347
167.038683 158.749975 -69.353987 -93.918093 -68.597939 90.152787
158.025374 155.547422 -80.566309 -82.506575 -65.022663 95.211560
160.439832 154.297115 -70.195562 -91.900421 -70.777596 92.637835
163.263228 152.535760 -72.024522 -85.287384 -64.982918 90.689811
158.148591 148.574960 -64.795580 -92.471124 -69.586486 96.538064
163.690019 155.329799 -67.493081 -89.813634 -70.995746 90.864848
160.824768 146.532775 -57.021909 -97.256853 -72.428275 93.578912
162.769664 152.063438 -64.863069 -94.408418 -72.415462 96.515539
161.091897 149.581252 -63.127272 -95.557803 -64.030756 93.603330
169.035680 146.115778 -52.534520 -99.824752 -76.795485 91.107101
163.162182 150.908030 -60.108233 -93.720851 -80.735377 88.280461
166.352426 152.001502 -71.464105 -87.034505 -77.884394 91.221254
162.777956 154.569025 -75.565101 -86.840828 -78.400934 91.521448
164.086088 155.934120 -66.875079 -95.214797 -74.759364 92.207328
166.099245 151.587156 -59.853549 -95.966692 -76.000416 93.474062
164.524149 149.699059 -63.049449 -90.612595 -77.272355 91.978763
168.732297 155.385629 -75.182365 -86.239116 -81.493644 91.437272
162.238713 153.847402 -64.816351 -95.893336 -71.803511 90.573315
167.870791 154.576675 -65.086061 -96.572058 -86.521735 92.714169
166.406795 148.333677 -54.074662 -101.104613 -82.508248 93.870302
166.672557 150.200832 -56.525703 -100.027137 -75.947660 90.778788
165.453656 149.965655 -56.942345 -95.818729 -78.611229 91.585447
161.815665 148.493449 -56.077766 -96.881562 -73.501059 93.017423
169.595510 148.364550 -58.864920 -94.194319 -86.430464 90.549245
167.203577 153.599534 -63.304782 -98.586049 -72.591114 94.220349
167.408729 155.795222 -69.056177 -89.792775 -80.822503 91.369018
168.866906 145.328134 -54.027500 -96.583151 -78.873658 91.531631
169.595510 147.245778 -54.512273 -99.391649 -83.405974 89.971903
169.595510 143.283299 -44.991211 -105.111161 -83.077606 91.552197
169.595510 153.677808 -58.829779 -99.125907 -70.085008 92.362708
166.956803 149.894389 -58.527850 -94.259629 -83.598456 90.805111
168.712325 149.637615 -60.480574 -94.775118 -83.588401 92.259675
167.767560 142.724835 -44.779478 -105.040660 -77.295168 91.151832
168.844120 144.687640 -44.073247 -105.805409 -73.144441 88.874251
169.595510 144.992690 -46.757112 -101.877012 -84.709666 90.090475
169.595510 149.142645 -59.562562 -93.547077 -80.586472 88.199237
168.419419 147.751923 -50.139152 -100.768001 -73.228896 90.454190
169.595510 147.160701 -51.299283 -99.509006 -78.290873 91.332709
169.595510 147.503768 -58.864981 -97.185874 -74.309712 92.440040
167.318338 146.031179 -55.897729 -93.431230 -68.514959 90.002161
169.595510 148.939009 -57.164445 -95.659873 -79.035186 90.564880
169.595510 151.053308 -58.288800 -95.695690 -75.410425 90.159904
169.595510 143.604960 -45.565367 -104.691282 -86.040788 91.789649
168.355735 145.056142 -55.627349 -94.391138 -78.628940 90.946414
167.626899 142.101717 -43.186385 -104.122996 -73.495834 92.328434
169.595510 144.168368 -49.759769 -97.913467 -73.500424 90.930568
169.595510 145.046239 -51.909322 -100.435568 -81.911754 90.766022
169.595510 142.530502 -41.494454 -108.732035 -78.346757 91.509481
169.595510 146.873492 -56.250054 -93.476897 -83.097229 91.189166
169.595510 137.831551 -40.934440 -104.141376 -82.143974 92.100928
169.595510 141.543076 -42.275333 -106.288276 -76.654161 92.204760
169.595510 144.412261 -52.499682 -96.811231 -83.341545 92.765273
169.595510 144.580830 -52.993143 -95.988180 -78.235015 90.907837
169.595510 142.807344 -46.762600 -102.471361 -67.533420 90.238096
169.595510 141.698244 -40.044416 -104.915701 -81.062714 92.898004
169.595510 140.815141 -40.363095 -104.650717 -75.306264 91.183340
169.229876 146.366063 -53.135300 -94.216791 -80.495562 87.365701
169.595510 152.033085 -63.161088 -93.274463 -83.050135 92.541065
169.595510 143.271482 -51.809809 -97.805324 -70.732196 89.831119
169.595510 143.473028 -53.638930 -96.725512 -75.061901 92.149340
169.595510 141.157730 -45.911326 -105.368748 -81.801726 93.202876
169.595510 134.967215 -35.362201 -106.565458 -73.004504 93.350470
169.595510 149.555256 -50.811775 -96.286597 -68.798078 81.933187
169.595510 138.569047 -41.448928 -102.650537 -78.417504 91.112429
169.595510 142.752402 -50.091156 -99.139103 -71.441996 89.364276
169.595510 145.334432 -52.730409 -95.640666 -76.614143 90.646193
169.595510 136.672058 -38.952989 -103.385049 -71.448232 92.504824
44.817762 -146.811679 51.922009 102.512690 51.447071 84.119319
45.597465 -142.846754 50.672542 97.627097 53.426952 86.737863
48.317571 -142.435536 47.634873 101.257158 40.660120 84.485349
47.001612 -143.724379 51.921606 98.287262 39.003075 84.772586
49.002007 -151.624298 61.177663 91.522206 36.241346 88.846226
46.189134 -140.389184 53.430319 91.987881 40.612534 84.665235
51.166914 -143.960075 58.552029 92.532958 40.146179 83.370676
48.703077 -140.719573 51.367729 98.073074 48.889060 85.759705
45.137134 -145.832639 63.229677 86.789376 52.409968 85.657197
52.227089 -145.235858 58.461420 89.589986 48.894838 87.855603
49.440003 -144.089288 57.221293 92.438141 47.787046 87.473174
51.479699 -146.629914 67.490882 83.024405 44.699189 87.133078
52.181470 -141.834875 54.357214 92.795053 45.189290 86.248391
50.741977 -143.476716 49.854350 97.119799 34.021664 87.148603
46.979390 -141.666962 50.222439 96.204820 46.865449 87.153658
50.184282 -140.343025 50.005867 94.579228 36.485525 86.544555
49.208648 -146.668586 56.228409 92.379599 40.350657 88.952975
49.427702 -147.001367 61.283319 87.424195 48.472237 88.820695
50.236226 -140.064572 51.141950 92.854789 49.936018 86.682142
53.614400 -133.570332 40.576832 102.494051 37.792024 83.877790
53.338791 -139.718869 50.090261 95.708531 44.481238 85.869767
49.139793 -144.720507 58.782172 91.420491 49.120730 86.866571
54.462894 -133.776891 44.705016 96.428802 33.582616 84.178161
48.963526 -142.037978 57.507638 88.953652 39.949660 85.985798
51.405257 -137.240630 51.162772 89.982934 44.411789 86.911480
50.142731 -139.527692 53.524716 91.941791 35.829738 85.491183
53.843536 -138.588773 56.854379 86.102615 36.220701 86.735889
54.262349 -141.196635 56.962610 90.286577 47.943837 86.411141
52.938792 -139.333318 50.689819 93.739292 46.538071 85.090019
52.041277 -140.323354 58.943556 88.096039 38.097730 87.745760
54.281614 -131.487644 44.683077 94.632954 33.297982 85.070300
54.710126 -134.912437 45.813029 94.083240 24.869559 85.205128
53.653352 -132.454676 45.454386 93.800258 29.980644 84.293004
54.688102 -133.782164 49.702505 87.112055 43.132484 88.396821
53.152645 -138.184672 53.590979 88.652700 41.257993 86.700188
52.635897 -134.148918 49.233021 89.058092 35.961479 86.152700
53.484042 -131.200967 42.068518 97.508703 30.656362 82.579384
54.189047 -143.050813 56.008565 88.314025 38.432040 88.934070
54.910879 -136.235090 60.491564 83.795623 43.832746 83.644785
53.507156 -130.757046 51.563133 87.188676 34.229992 83.123423
52.275775 -131.810534 49.338421 87.357013 42.629488 85.930241
50.789703 -138.645190 61.260814 83.362042 43.325372 84.843838
55.082887 -128.406614 47.672501 86.288594 41.596443 85.789198
56.398385 -132.935016 54.904564 82.722388 36.292371 86.846258
57.266420 -138.331166 61.534854 81.290815 28.488504 86.241602
55.092169 -140.449480 67.671452 75.973485 38.826060 88.657249
52.230774 -131.643140 57.011545 83.107788 47.932307 84.989328
