关节角1 关节角2 关节角3 关节角4 关节角5 关节角6
126.289023 135.425084 -53.773263 -85.827857 -29.988171 92.871776
122.980616 133.929368 -59.038051 -82.828727 -26.616595 96.955314
124.404342 128.292782 -48.511238 -89.953093 -32.302925 98.980499
126.585508 136.495293 -63.625125 -75.694786 -25.828253 94.202208
129.544209 133.585919 -62.421884 -79.023083 -30.027076 96.221581
127.868272 132.132796 -64.925019 -77.274786 -33.871198 101.659764
126.498027 137.848285 -69.982514 -72.539867 -22.144090 93.972352
125.516952 129.172661 -58.746867 -80.718868 -29.786284 98.955214
127.229239 135.370989 -69.443476 -72.389439 -32.650807 93.467894
127.664678 137.147439 -70.784187 -71.619048 -31.698256 94.260456
129.264991 133.898673 -78.148812 -63.385979 -30.629594 97.902395
129.598222 135.637312 -71.874627 -68.212758 -36.765276 94.147731
129.068992 140.014671 -83.751151 -59.075242 -30.915151 93.113906
130.438650 142.215713 -80.566657 -66.816209 -29.986853 94.718973
129.016659 138.323352 -81.850173 -64.468469 -40.889371 93.333750
132.694948 140.164593 -90.690555 -54.606802 -45.754286 93.798380
128.330607 133.752166 -77.242814 -63.694028 -38.931310 98.179188
130.630646 140.826521 -87.867296 -59.556757 -50.009740 94.951862
132.064071 137.903432 -80.224445 -65.886102 -40.894993 96.296638
133.469560 138.755771 -86.308053 -61.078168 -40.034099 96.888672
134.589602 140.493986 -92.251656 -50.728945 -38.930446 92.989412
137.893528 139.314180 -90.138116 -55.506734 -42.372878 92.576848
135.027075 139.369955 -94.699029 -48.596731 -41.984046 92.970780
132.508006 138.389263 -93.244349 -51.788161 -42.265279 97.315845
135.510120 141.700471 -96.274412 -49.007847 -45.202755 93.239411
136.818443 144.291079 -90.526344 -61.530797 -42.079303 96.177874
135.113860 139.033924 -86.301476 -56.443027 -38.392756 92.144101
139.593863 142.773398 -94.930088 -52.747270 -52.323053 92.821157
141.223314 138.983326 -87.010436 -57.307049 -45.012572 94.101668
142.145772 144.732405 -99.261179 -48.179581 -47.344167 92.129888
140.609211 142.480451 -95.314552 -52.130493 -50.119040 90.834563
140.792452 145.041321 -108.107900 -43.566334 -52.381677 93.552787
138.773270 139.139327 -95.145532 -46.448568 -43.742362 91.008739
140.326783 143.792271 -93.433730 -56.392354 -54.590304 96.106233
139.640281 142.950914 -93.006945 -57.407194 -47.512135 97.160131
145.226296 143.074759 -92.675306 -56.033769 -59.268953 92.805687
148.765577 146.160953 -99.077665 -51.312329 -55.520593 92.288772
144.368684 146.612524 -96.536193 -53.726241 -48.537636 92.732215
147.719807 144.754917 -95.424901 -53.219263 -53.479866 91.084056
146.816979 152.099638 -100.553314 -57.449916 -62.434431 92.790627
146.142894 149.117305 -92.316229 -61.142337 -58.710633 91.598089
145.653757 148.758392 -93.079059 -60.741118 -50.753831 93.905081
148.505402 151.202152 -94.681763 -61.401939 -59.682869 92.678734
143.581614 150.186625 -98.400343 -55.536835 -50.881043 91.671445
149.925712 155.259229 -99.474124 -60.041884 -64.874967 89.888636
151.032066 147.571100 -91.128404 -63.252408 -55.375496 94.514942
152.911188 151.711615 -90.766814 -63.589765 -61.867854 91.103017
152.883457 152.974722 -97.552628 -60.993890 -59.331114 92.297794
149.363533 156.592919 -96.229736 -64.943918 -58.630597 91.700761
154.034290 153.267369 -90.529281 -67.637307 -58.011577 92.377441
155.938560 154.478525 -87.065863 -72.241907 -67.339921 91.977971
156.168819 155.248369 -89.397382 -71.568921 -67.313126 93.607415
150.499721 154.972717 -94.543929 -68.242708 -62.390582 97.162624
157.885697 153.519526 -84.030431 -77.575028 -64.770616 94.226565
153.665241 151.340176 -74.928364 -78.758406 -58.831732 90.511672
153.925061 155.915993 -89.704501 -71.627367 -63.481349 90.867416
159.565541 156.467176 -80.973518 -81.299052 -64.737209 91.192144
157.746784 153.646608 -79.245146 -79.954577 -63.999631 91.846640
157.887322 152.925381 -78.318931 -83.090856 -70.534039 94.606227
160.381680 153.257014 -80.194467 -80.156873 -72.389869 94.114386
157.790456 154.682556 -79.727555 -81.076162 -62.500759 89.604227
160.762777 156.823930 -77.372834 -84.100905 -55.064568 90.409978
155.037289 152.000942 -68.866311 -92.005448 -68.203557 91.272023
168.053895 156.085532 -72.008806 -86.202137 -72.828982 90.251920
159.805335 155.239476 -71.405017 -89.085030 -75.669084 91.018070
162.349881 150.765935 -62.855526 -94.311027 -72.710287 92.379668
164.960516 149.993550 -61.798069 -94.223955 -65.797179 92.206905
166.273101 149.761214 -58.852332 -97.695665 -77.695266 93.968506
168.895142 148.783295 -50.902726 -100.252513 -81.854374 89.510223
164.555458 151.334111 -64.416088 -92.155159 -67.417758 92.645376
169.595510 147.659073 -53.501254 -100.626049 -80.123809 91.257502
